student_id,name,email,phone,skills,qualification,location_preferences,sector_interests,social_category,past_internship_participation,preferred_job_type,experience
S00001,Daniel Miller1,lberger@example.net,6126046660.0,"['React', 'C++', 'Figma', 'Branding']",M.Tech CS,['Pune'],"['Blockchain', 'Cybersecurity', 'Software']",ST,False,,49.0
S00002,Richard Chaney,antonio41@example.net,6929020454.0,"['Kubernetes', 'Blockchain', 'Cybersecurity', 'Public Policy', 'Finance', 'Game Development', 'C++']",B.Tech IT,[],"['Blockchain', 'Software']",,True,Remote,
,Scott Simpson,kaitlinsmith@example.com,6520422340.0,"['Animation', 'Customer Support', 'UI/UX', 'Blockchain', 'Data Science']",,[],"['Software', 'Blockchain', 'AI/ML']",EWS,False,Part-time,19.0
S00004,Mary Melendez,nsmith@example.net,,"['Cybersecurity', 'Robotics', 'Python', 'Kubernetes', 'Tableau', 'Blockchain', 'SQL', 'Game Development']",B.Tech IT,['Bangalore'],"['UI/UX', 'AI/ML']",EWS,True,Part-time,36.0
S00005,David Cervantes,alyssaturner@example.com,,"['Data Science', 'SQL', 'Public Policy', 'IT Support', 'Embedded_C']",,[],['Data Science'],SC,False,,8.0
S00006,,ljensen@example.net,8235510189.0,[],M.Tech CS,['Delhi'],[],,False,Internship,13.0
S00007,Jacob Hahn,zacharyreynolds@example.org,7100101878.0,"['C++', 'React', 'AWS', 'Cybersecurity']",,['Kolkata'],"['Cloud Computing', 'Cybersecurity', 'Web Development']",General,False,Full-time,47.0
S00008,Dr. Heidi Gallagher PhD,joshua71@example.org,9266606941.0,[],B.Sc IT,['Ahmedabad'],['AI/ML'],EWS,True,Internship,14.0
S00009,Bobby Horton,cross@example.org,,['SQL'],B.Tech IT,"['Mumbai', 'Pune']",,OBC,False,Internship,4.0
S00010,Jeremy Stevens,lisacook@example.net,9301364560.0,"['AI/ML', 'Animation', 'Data Science', 'IT Support', 'Robotics']",B.Sc IT,"['Pune', 'Chennai']",['Finance'],OBC,False,Part-time,15.0
S00011,Teresa Roberts,brownkevin@example.net,9690138949.0,"['Blockchain', 'IT Support', 'Kubernetes']",B.Sc Physics,['Delhi'],"['Blockchain', 'Software']",EWS,False,Part-time,6.0
S00012,Tristan Roberts,garciachristopher@example.com,7294919221.0,"['Python', 'IoT', 'Tableau', 'SQL', 'Data Science', 'Branding', 'Public Policy', 'Rocket Science']",M.Tech CS,"['Ahmedabad', 'Bangalore']",['UI/UX'],,False,Internship,14.0
S00013,Jasmine Powell,awhite@example.net,8197416515.0,[],M.Tech CS,['Hyderabad'],['IoT'],SC,True,,55.0
S00014,Mr. Daniel Morales DVM,simpsoncrystal@example.com,8277861427.0,"['Data Science', 'AI/ML', 'Blockchain', 'Figma', 'UI/UX']",,['Delhi'],[],EWS,False,Full-time,
S00015,Robin Reed,amanda73@example.org,8496685871.0,"['Public Policy', 'Animation', 'IoT', 'Branding', 'Game Development', 'AI/ML', 'Origami']",MCA,"['Ahmedabad', 'Chennai']",,ST,False,Full-time,43.0
S00016,Gary Frank,stanleygeorge@example.net,7550429615.0,"['UI/UX', 'IT Support', 'Java', 'Robotics', 'Animation', 'Finance']",B.Sc Physics,"['Ahmedabad', 'Hyderabad']","['Cybersecurity', 'AI/ML']",General,True,Internship,41.0
S00017,,,7884856968.0,"['Cloud Computing', 'AI/ML', 'Kubernetes', 'Finance', 'Basket Weaving']",M.Tech CS,"['Kolkata', 'Hyderabad']",['Cybersecurity'],General,,Remote,22.0
S00018,Michael Harris,richardgross@example.com,9666515119.0,"['Figma', 'Cloud Computing', 'Customer Support', 'UI/UX', 'Blockchain', 'Tableau', 'Game Development']",B.Tech ME,"['Hyderabad', 'Kolkata']",,OBC,True,Internship,23.0
S00019,Michael Robinson,robin07@example.net,7322044097.0,"['UI/UX', 'Figma', 'Robotics', 'React', 'Animation', 'AWS', 'Java']",B.Sc IT,"['Delhi', 'Bangalore']",[],OBC,,Part-time,51.0
S00020,Jonathon Hill,turnersharon@example.com,8762873373.0,"['Cybersecurity', 'Animation', 'AI/ML', 'Branding', 'Blockchain']",MCA,['Delhi'],,SC,False,Part-time,19.0
S00021,Matthew Foster,jessicakeith@example.com,6257457309.0,"['UI/UX', 'Branding', 'Public Policy', 'Figma', 'Data Science']",MCA,"['Jaipur', 'Bangalore']",['UI/UX'],SC,True,Part-time,17.0
S00022,,johnwatson@example.org,,"['React', 'Figma', 'Game Development', 'IT Support', 'Data Science', 'UI/UX', 'Sound Engineering']",B.Tech CSE,['Hyderabad'],"['Blockchain', 'Web Development']",General,False,Internship,13.0
S00023,Jason Barrera,emills@example.net,8148299560.0,"['Blockchain', 'Java', 'SQL', 'Branding', 'Cloud Computing', 'AI/ML']",B.Sc Maths,['Hyderabad'],"['Finance', 'Cloud Computing', 'Cybersecurity']",SC,False,Part-time,52.0
S00024,Perry English,burkejamie@example.com,8080723679.0,"['Animation', 'Game Development', 'Robotics', 'Basket Weaving']",B.Sc Maths,[],['UI/UX'],General,False,Full-time,
,Billy Sanchez,,8319890726.0,"['AWS', 'React', 'Cloud Computing', 'Java', 'Animation', 'Robotics', 'Branding', 'C++']",B.Tech ME,['Hyderabad'],,OBC,True,Full-time,10.0
S00026,Sarah Roberts,chasesimpson@example.org,9406438268.0,"['Sound Engineering', 'Public Policy', 'Branding']",B.Tech IT,,"['Software', 'Finance', 'AI/ML']",,True,Remote,43.0
,Caitlin Martin,gregory29@example.org,6927300468.0,"['Branding', 'SQL', 'Animation', 'AWS']",B.Tech CSE,"['Delhi', 'Hyderabad']","['Cybersecurity', 'Blockchain', 'AI/ML']",EWS,False,Full-time,5.0
S00028,Sandy Shea,rachelwhitney@example.com,,"['Cloud Computing', 'Robotics', 'AWS', 'C++', 'Java', 'Branding', 'ROS']",MCA,['Bangalore'],['IoT'],OBC,False,Internship,1.0
S00029,Kenneth Ortega,carternatalie@example.org,6265926035.0,[],,"['Jaipur', 'Mumbai']","['AI/ML', 'Software', 'Blockchain']",SC,False,Internship,14.0
,Ms. Angela Reynolds,karen18@example.net,9844772925.0,"['Public Policy', 'Cybersecurity', 'Finance']",B.Tech IT,['Mumbai'],"['Cybersecurity', 'IoT']",EWS,True,Internship,37.0
S00031,,bergcraig@example.net,,"['SQL', 'UI/UX', 'C++', 'Branding']",B.Tech CSE,"['Kolkata', 'Jaipur']",,OBC,True,Internship,40.0
S00032,Connie Larson,iwilson@example.net,,"['SQL', 'Blockchain', 'Python']",M.Tech CS,['Delhi'],"['UI/UX', 'Finance', 'Web Development']",OBC,False,,11.0
S00033,,krista74@example.org,9204317727.0,"['AI/ML', 'Branding', 'Public Policy', 'Communication']",MCA,['Chennai'],['Cloud Computing'],EWS,True,Full-time,11.0
S00034,Alex Wise,brownsheryl@example.com,6411725459.0,"['SQL', 'React', 'Sound Engineering', 'Java', 'Quantum Mechanics', 'Figma']",MCA,['Jaipur'],"['IoT', 'Cybersecurity', 'Cloud Computing']",SC,True,Part-time,36.0
S00035,Courtney Holt,williamjohnson@example.org,7294530870.0,"['Finance', 'SQL', 'Data Science', 'Tableau', 'React']",B.Tech CSE,"['Delhi', 'Hyderabad']",['Web Development'],OBC,False,Remote,42.0
