Student_ID,Name,Email,Phone,Skills,Qualification,Location_Preferences,Sector_Interests,Social_Category,Past_Internship_Participation,Preferred_Job_Type,Experience
S00001,Daniel Miller1,lberger@example.net,6126046660,['Robotics'],M.Tech CS,['Pune'],"['Blockchain', 'Cybersecurity', 'Software']",ST,False,Part-time,49
S00002,Richard Chaney,antonio41@example.net,6929020454,"['Kubernetes', 'Blockchain', 'Cybersecurity', 'Public Policy', 'Finance', 'Game Development', 'C++']",B.Tech IT,,,ST,True,Remote,7
S00003,Scott Simpson,kaitlinsmith@example.com,65204223409,"['Animation', 'Customer Support', 'UI/UX', 'Blockchain', 'Data Science']",M.Tech CS,,,EWS,False,Part-time,19
S00004,Mary Melendez,nsmith@example.net,8334793686,"['Excel', 'Web Development', 'Python', 'SQL']",B.Tech IT,['Bangalore'],"['UI/UX', 'AI/ML']",EWS,True,Part-time,36
S00005,David Cervantes,alyssaturner@example.com,8101392088,"['Data Science', 'SQL', 'Public Policy', 'IT Support']",,,,SC,False,Remote,8
S00006,Lori Anderson,ljensen@example.net,8235510189,"['AI/ML', 'Robotics', 'Java']",,['Delhi'],,EWS,False,Internship,13
S00007,Jacob Hahn,zacharyreynolds@example.org,7100101878,"['C++', 'React', 'AWS', 'Cybersecurity']",,['Kolkata'],"['Cloud Computing', 'Cybersecurity', 'Web Development']",General,False,Full-time,47
S00008,Dr. Heidi Gallagher PhD,joshua71@example.org,9266606941,"['IoT', 'C++', 'Figma', 'UI/UX']",B.Sc IT,['Ahmedabad'],['AI/ML'],EWS,True,Internship,14
S00009,Bobby Horton,cross@example.org,82392222709,"['AWS', 'Figma', 'Cybersecurity', 'Origami']",B.Tech IT,"['Mumbai', 'Pune']","['IoT', 'UI/UX']",OBC,False,Internship,4
S00010,Jeremy Stevens,lisacook@example.net,9301364560,"['AI/ML', 'Animation', 'Data Science', 'IT Support', 'Robotics']",B.Sc IT,"['Pune', 'Chennai']",,OBC,False,Part-time,15
S00011,Teresa Roberts,brownkevin@example.net,9690138949,"['AI/ML', 'Data Science', 'Web Development', 'Kubernetes']",B.Sc Physics,['Delhi'],,EWS,False,Part-time,6
S00012,Tristan Roberts,garciachristopher@example.com,7294919221,"['Cloud Computing', 'Web Development']",M.Tech CS,"['Ahmedabad', 'Bangalore']",['UI/UX'],General,False,Internship,14
S00013,Jasmine Powell,awhite@example.net,8197416515,"['SQL', 'Robotics', 'Animation', 'Java', 'Figma']",M.Tech CS,['Hyderabad'],['IoT'],SC,True,Part-time,55
S00014,Mr. Daniel Morales DVM,simpsoncrystal@example.com,8277861427,"['Web Development', 'Robotics', 'Java']",,['Delhi'],,EWS,False,Full-time,44
S00015,Robin Reed,amanda73@example.org,8496685871,"['Public Policy', 'Animation', 'IoT', 'Branding', 'Game Development', 'AI/ML', 'Origami']",MCA,,"['UI/UX', 'Finance']",ST,False,Full-time,43
S00016,Gary Frank,stanleygeorge@example.net,7550429615,"['Data Science', 'Java']",B.Sc Physics,"['Ahmedabad', 'Hyderabad']","['Cybersecurity', 'AI/ML']",General,True,Internship,41
