Student_ID,Name,Email,Phone,Skills,Qualification,Location_Preferences,Sector_Interests,Social_Category,Past_Internship_Participation,Preferred_Job_Type,Experience
S00001,Daniel Miller1,lberger@example.net,6126046660,"['Web Development', 'Python', 'MS Office', 'Data Science']",M.Tech CS,['Pune'],"['Blockchain', 'Cybersecurity', 'Software']",ST,False,Part-time,49
S00002,Richard Chaney,antonio41@example.net,6929020454,"['Cloud Computing', 'Data Science']",B.Tech IT,,,ST,True,Remote,7
S00003,Scott Simpson,kaitlinsmith@example.com,65204223409,"['Kubernetes', 'C++', 'Python']",M.Tech CS,,,EWS,False,Part-time,19
S00004,Mary Melendez,nsmith@example.net,8334793686,"['Java', 'Robotics', 'C++', 'Excel']",B.Tech IT,['Bangalore'],"['UI/UX', 'AI/ML']",EWS,True,Remote,36
S00005,David Cervantes,alyssaturner@example.com,8101392088,"['C++', 'Web Development', 'AI/ML']",,,,SC,False,Internship,8
S00006,Lori Anderson,ljensen@example.net,8235510189,"['Java', 'Robotics', 'Data Science', 'MS Office', 'Web Development']",,['Delhi'],,EWS,False,Remote,13
S00007,Jacob Hahn,zacharyreynolds@example.org,7100101878,"['Excel', 'Kubernetes', 'Cloud Computing', 'MS Office']",,['Kolkata'],"['Cloud Computing', 'Cybersecurity', 'Web Development']",General,False,Internship,47
S00008,Dr. Heidi Gallagher PhD,joshua71@example.org,9266606941,"['Excel', 'Communication', 'AI/ML', 'Python']",B.Sc IT,['Ahmedabad'],['AI/ML'],EWS,True,Internship,14
S00009,Bobby Horton,cross@example.org,82392222709,"['Web Development', 'C++']",B.Tech IT,"['Mumbai', 'Pune']","['IoT', 'UI/UX']",OBC,False,Remote,4
S00010,Jeremy Stevens,lisacook@example.net,9301364560,"['Web Development', 'Cloud Computing', 'SQL', 'Communication']",B.Sc IT,"['Pune', 'Chennai']",,OBC,False,Part-time,15
S00011,Teresa Roberts,brownkevin@example.net,9690138949,"['Java', 'Robotics', 'Communication']",B.Sc Physics,['Delhi'],,EWS,False,Remote,6
S00012,Tristan Roberts,garciachristopher@example.com,7294919221,"['Excel', 'Web Development', 'Data Science']",M.Tech CS,"['Ahmedabad', 'Bangalore']",['UI/UX'],General,False,Internship,14
S00013,Jasmine Powell,awhite@example.net,8197416515,"['Excel', 'Python', 'Data Science']",M.Tech CS,['Hyderabad'],['IoT'],SC,True,Internship,55
S00014,Mr. Daniel Morales DVM,simpsoncrystal@example.com,8277861427,"['Excel', 'Java', 'MS Office', 'Cloud Computing', 'Web Development']",,['Delhi'],,EWS,False,Internship,44
S00015,Robin Reed,amanda73@example.org,8496685871,"['Kubernetes', 'Web Development', 'C++', 'SQL']",MCA,,"['UI/UX', 'Finance']",ST,False,Internship,43
S00016,Gary Frank,stanleygeorge@example.net,7550429615,"['MS Office', 'Data Science']",B.Sc Physics,"['Ahmedabad', 'Hyderabad']","['Cybersecurity', 'AI/ML']",General,True,Remote,41
